Date,temperature,NO2,O3,OX,O3 moving 8hr
2018-01-12 0:00,9.9,6,28,34,
2018-01-12 1:00,10.4,6,27,33,
2018-01-12 2:00,10.3,6,26,32,
2018-01-12 3:00,10.4,6,25,31,
2018-01-12 4:00,11.2,7,24,31,
2018-01-12 5:00,12.1,8,22,30,
2018-01-12 6:00,11.9,13,18,31,
2018-01-12 7:00,11.5,19,12,31,22.75
2018-01-12 8:00,10.8,18,8,26,20.25
2018-01-12 9:00,5,10,8,18,17.875
2018-01-12 10:00,3.5,8,13,21,16.25
2018-01-12 11:00,2.6,9,17,26,15.25
2018-01-12 12:00,0.1,8,20,28,14.75
2018-01-12 13:00,-2,9,22,31,14.75
2018-01-12 14:00,-4.3,9,24,33,15.5
2018-01-12 15:00,-6.6,9,26,35,17.25
2018-01-12 16:00,-7.9,8,27,35,19.625
2018-01-12 17:00,-8.3,9,26,35,21.875
2018-01-12 18:00,-8.8,7,30,37,24
2018-01-12 19:00,-9.4,7,32,39,25.875
2018-01-12 20:00,-9.7,7,32,39,27.375
2018-01-12 21:00,-10.6,7,33,40,28.75
2018-01-12 22:00,-10.9,6,34,40,30
2018-01-12 23:00,-11.6,6,34,40,31
2018-01-13 0:00,-12.1,5,34,39,31.875
2018-01-13 1:00,-12.4,4,35,39,33
2018-01-13 2:00,-12.8,3,35,38,33.625
2018-01-13 3:00,-13.2,4,35,39,34
2018-01-13 4:00,-13.4,3,36,39,34.5
2018-01-13 5:00,-13.6,4,35,39,34.75
2018-01-13 6:00,-13.8,5,34,39,34.75
2018-01-13 7:00,-14.1,5,32,37,34.5
2018-01-13 8:00,-14.1,6,31,37,34.125
2018-01-13 9:00,-14,8,29,37,33.375
2018-01-13 10:00,-13.5,7,29,36,32.625
2018-01-13 11:00,-12.8,7,29,36,31.875
2018-01-13 12:00,-12.2,7,29,36,31
2018-01-13 13:00,-12.1,6,30,36,30.375
2018-01-13 14:00,-11.9,6,31,37,30
2018-01-13 15:00,-12.4,7,31,38,29.875
2018-01-13 16:00,-12.6,7,31,38,29.875
2018-01-13 17:00,-12.8,9,30,39,30
2018-01-13 19:00,-13.9,11,28,39,30
2018-01-13 20:00,-14.2,13,25,38,29.42857143
2018-01-13 21:00,-14.6,14,24,38,28.57142857
2018-01-13 22:00,-14.7,14,23,37,27.42857143
2018-01-13 23:00,-14.9,15,22,37,26.14285714
2018-01-14 0:00,-15.5,17,21,38,24.71428571
2018-01-14 1:00,-16.2,29,8,37,21.57142857
2018-01-14 2:00,-16.5,32,6,38,19.625
2018-01-14 4:00,-16.8,40,1,41,15
2018-01-14 5:00,-16.1,41,1,42,11.71428571
2018-01-14 6:00,-15.6,41,1,42,8.571428571
